reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,label_sentiment
1a2eb812-68f3-44b6-8ac0-13e1d9c9696b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mudah refresh terus, foto yg dilihat langsung hilang kebawah.. . Nyari jadi susah.. upload video juga susah. Padahal koneksi internet cepat dan stabil. 😕 - sering buffering dan bahkan saat nulis panjang"" instagram not response. Closed. then hilang semua updaye pembaruan : ""tidak dapat memuat ulang kabar beranda""",1,0,215.0.0.27.359,2021-12-09 18:48:35,,,215.0.0.27.359,Negative
3006c0ce-5fbf-4cac-b320-67c33e55cf20,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Setelah update malah banyak bug. Di story tulisan nya ""musik tidak di temukan"" Semua story orang yang pakai musik, di saya itu tulisan nya "" musik tidak tersedia"" udah segala cara di coba.ga ada yang bisaa.. semua alasan sama, katanya wilayah wilayah. Serumah aja dia aman ig nya, kenapa saya bermasalah? Uninstall berkali kali, logout login, update. Semuanya udah. Makin kesini kenapa sih.. respon dong tolong!",1,0,167.1.0.25.120,2023-11-26 16:09:49,,,167.1.0.25.120,Negative
6f4fe7d4-dd6a-4897-a5b9-936d8b6a69dd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Banyak bug nya dan sampe sekarang belum diperbaiki, padahal udh report ke bagian CS nya, dan masi belum ada perubahan, bug yang aku temui berupa - beberapa fitur update terbaru tidak ada tombolnya (gaada tombol reply di dm dll) - terkadang instagram saya putih dan tidak keliatan tulisan apapun (kecuali gambar postingannya sendiri) - dll masi banyak banget, yg diatas itu yg paling ngeselin si. P.s system algorithm nya kaya kontool, akun / bisnis kecil susah berkembang. Sekian sahabat",1,8,185.0.0.38.116,2021-05-01 21:57:15,,,185.0.0.38.116,Negative
09719eed-94a9-4925-9886-5a25d1cb35d5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Minta upgrade berkali-kali itu sangat menyebalkan, ada saja yang tidak bisa digunakan setelah di upgrade dari menambahkan tulisan pada story mau diposting terjadi kesalahan sistem, lalu klik selengkapnya tidak bisa, klik terjemahan pada caption dan DM terjemahan juga tidak bisa muncul terjemahannya dan ketika sudah bisa semuanya sekarang minta upgrade lagi kemudian tidak ada tampilan halaman yang ditandai teman... Kenapa sekarang jadi seperti ini banyak bug... 🤦🏻‍♀️",1,938,378.0.0.52.68,2025-04-30 18:43:21,,,378.0.0.52.68,Negative
c1dfb111-1177-4a39-a859-142092b0963f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"1. Banyak bug (komen ilang, gabisa ngelike) 2. Pake kuota lancar, giliran pake wifi yang jaringannya lebih kuat malah ngelag 3. Pencarian agak terbatas, kadang akun yang dicari ada, kadang tidak ada, padahal akun yang sama 4. Kasih history tontonan dong, kadang reels yg bagus gabisa di like, trus ilang, cuma ada history reels yg udah di like",2,23,378.0.0.52.68,2025-05-04 08:26:50,,,378.0.0.52.68,Negative
9611a950-c883-4365-8f9a-5acd3cf6d221,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"please jangan kasih update random kayak gitu lah, masak ya update pertama dapat yang reels nya bisa di puase dan update kedua malah gak ada, dan update ketiga balik lagi bisa di puase, terus sekarang malah reels bermasalah kayak keluar sendiri dari video reels dan kembali ke beranda, dan itu selalu terjadi, saat membuka reels dan ingin scroll ke bawah malah kembali ke beranda dan di buka lagi setelah beberapa saat malah kembali lagi ke beranda. tolong di perbaiki",2,12,378.0.0.52.68,2025-05-04 05:37:52,,,378.0.0.52.68,Negative
07228351-83ad-4517-a4cc-cc034ad1fda4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sebelumnya, ketika video sudah berakhir, tinggal di goyang saja atau di scrol sedikit videonya jalan kembali. Sekarang, harus di klik dulu. Kemudian, yang sebelumnya kolom komentar bisa dibuka hanya dengan mengetuk caption, sekarang sudah tidak bisa lagi dan harus mengetuk icon komentar, ini sangat menggangu, karena pengalaman menonton video dan melihat kolom komentar secara bersamaan jadi hilang dan tidak menyenangkan lagi. Aku tidak tau apakah ini pembaharuan untuk peningkatan atau penurunan.",2,14,378.0.0.52.68,2025-05-03 14:34:34,,,378.0.0.52.68,Negative
91a5d982-6f2f-4b3d-9f81-a806a2538fa7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Setelah update malah makin kurang menurutku, kadang suka keluar sendiri dari Instagram, terus foto di sg gabisa di save dan kalau pake filter itu jadinya malah video bukan foto. Hey kenapa abis update malah jelek tampilan nya, kok malah lonjong foto nya.. plis lah bagusan instagram yang dulu :) update mulu update mulu, maaf ya menurut aku jadi makin downgrade.. kenapa sih feeds nya skrg jadi lonjong? padahal yg kotak bagus.. pas mau kasih lagu juga kadang suka error.. :(( mohon diperbaiki lagi",2,354,376.0.0.52.68,2025-04-18 13:19:47,,,376.0.0.52.68,Negative
c85ecd61-13d9-4ac5-a343-797890a0fd90,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"mending durasi musik di story panjangin jadi 30 detik deh, 15 detik bentar banget, dan mode gelap kembaliin dong masa semenjak update jadi gak ada mode gelap. Diupdate ko malah banyak bugnya, sekarang scroll reels sering nyendat atau gak bisa scroll ke bawah lagi hadeh",2,203,375.0.0.38.66,2025-04-10 02:55:00,,,375.0.0.38.66,Negative
a4edceef-8985-496b-b3aa-42c8e18d7ce8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Instagram tetap menjadi salah satu platform media sosial terbaik untuk berbagi foto, video, dan momen sehari-hari. Aplikasinya mudah digunakan, tampilannya simpel, dan fiturnya terus berkembang — mulai dari Story, Reels, sampai DM yang makin praktis. Selain untuk hiburan, IG juga efektif banget buat membangun personal branding atau bisnis. Kekurangannya, kadang algoritma berubah-ubah, dan aplikasi bisa terasa berat di HP tertentu. Tapi secara keseluruhan, Instagram masih sangat worth it untuk di",5,1213,377.1.0.48.63,2025-04-26 16:15:29,,,377.1.0.48.63,Positive
