content,score,label_sentiment
Saya sangat suka dengan aplikasi ini cuman salahnya punya ku gak bisa buat avatarnya,4,Positive
bisa menguplod foto dan video. bisa chat sama teman,5,Positive
sangat tidak bagus saat digunakan waktu sudah di upgrade,2,Negative
IG Rusak Terbuka Sendiri App Nya,1,Negative
good 👍🏼😊,5,Positive
keren🥰🥰🥰,5,Positive
the best instagram untuk bisa melihat hiburan video dan video edukasi serta apapun video postingan dari berbagai negara.,5,Positive
bermanfaat info2 terbaru,5,Positive
bagus,5,Positive
ok,5,Positive
sangat memuaskan,5,Positive
aku suka Instagram 😎,5,Positive
Tidak ada komentar,5,Positive
gacor,5,Positive
aku kasih satu bintang aja karena filter jedag jedug di hilangkan dengan meta Al yang tidak jelas,1,Negative
ok,5,Positive
wadah informasi kreativitas,4,Positive
kerennnnnn,5,Positive
"suka tiba tiba muncul saat membuka atau saat sedang bsrada di aplikasi lain, dan itu sangat mengganggu, setelah di upgade ulang pun mlah jadi gak bisa di buka,",1,Negative
terimakasih atas kerjasama nya,5,Positive
bagus,5,Positive
saya sangat menyukai apk ini,5,Positive
ay ofIdi odii,1,Negative
boros baterai,1,Negative
diagramk,5,Positive
mantap,5,Positive
✨✨✨,5,Positive
banyak bug sekarang,1,Negative
bening untuk di lihat pusing untuk segalahya,3,Neutral
ini luar biasa,5,Positive
sering kali lagi membuka aplikasi lain tiba tiba beralih ke Instagram sendiri tolong bisa di bantu?,4,Positive
nyaman dipakai,5,Positive
🥰🥰🥰🥰🥰🥰,5,Positive
bagus,5,Positive
"APAAN COBA?! SEBENARNYA KALIAN NGERTI GIMANA PENGGUNA PAKEK IG GA SIH?! catatan di postingan tuhhh BUTUH BANGET WOYY! TERUS MASALAH FEED, MENDING GA USAH DIGANTII ADMIN UDAH PAKEK RASIO BARUU!! AWAS AJA DIGANTI LAGII, CATATAN NYAA ADAIN LAGII!!",1,Negative
Aplikasi.mudah di aplot. agak susah. digeser.,5,Positive
sering ada bug pada android,4,Positive
sangat bagus.,5,Positive
mantap,5,Positive
"akun saya ditangguhkan tanpa penjelasan yang detail dan bukan 1 akun saja tapi hampir 5 akun ditangguhkan dan 1 yang dinonaktifkan, prosesnya tidak ada transparansi. ada yang prosesnya tidak ada update",1,Negative
"aplikasi ini sangat bagus, tapi saya ingin akun saya banyak pengikutnya",5,Positive
keren,5,Positive
hp izal kayak Kon til,1,Negative
keren,5,Positive
Instagram adalah aplikasi yang luar biasa,5,Positive
sangat membantu di setiap kegiatan saya sehari-hari 🫶🏻,5,Positive
Bagus sukak deh,5,Positive
banyak di minati,5,Positive
sangat membantu terimakasin,5,Positive
ok,5,Positive
bagus aja..cepat uploadnya..saran efeknya tolong lebih praktis dan banyak pilihan lg,5,Positive
"Sangat baik dan bagus,",5,Positive
Bagussss,5,Positive
mantap aku dapet banyak temen dari sini,5,Positive
penangguhan aja terus,1,Negative
gak bisa di perbaruii,2,Negative
bisa berinteraksi dan mengetahui kegiatan teman teman,3,Neutral
sangat bagus,5,Positive
good,5,Positive
saat saya mau login akun di perangkat lain kok malah dipersulit sampai gak bisa login ya ? saat step mengirimkan kode via sms malah tidak terkirim sudah ditunggu selama 3 hari penuh,1,Negative
👍👍👍👍👍,5,Positive
good,5,Positive
"restore pause with one tap, i dont like to mute with one tap, i just want to pause the reels bro, bring it back",1,Negative
ig ngapa sih ngjak ribut mulu,3,Neutral
sangat menghiburku menambah wawasan dari mana saja..pokoknya nggak nyesel dengan aplikasi ini,5,Positive
Keren,5,Positive
tranformasi bagus👍,5,Positive
perfect bunh,5,Positive
keren mantap,5,Positive
untuk aplikasi nya bagus👍,5,Positive
bagus banget,5,Positive
senang banget bisa punya Instagram cocok banget buat nge post foto chtan,5,Positive
biasa aja,1,Negative
Aplikasi dari meta baik sekali untuk belajar mandiri dan biaya tambahan kalau memungkinkan penggunanya,3,Neutral
"7890'+""+;""--;(?!:!??",1,Negative
"halo Instagram saya ada keluhan nih kenapa kalau saya ingin login ke akun saya sendiri tidak bisa login atau kata sandi salah padahal saya sudah memasukkan kata sandi yang benar , dan ketika saya menggunakan di handphone teman saya akun tersebut bisa masuk, terus ketika saya membuat akun baru kenapa tidak bisa juga atau terjadi eror, tolong admin Instagram belikan solusinya 🙏🏼🙏🏼",1,Negative
baru donlod langsung nggak bisa di buka,1,Negative
Bagus,5,Positive
menarik,5,Positive
bagus sekali apka ini.👍,5,Positive
sangat menginspirasi dan memotivasi diri,5,Positive
sangat membantu,5,Positive
good,5,Positive
baru mencoba,4,Positive
good,5,Positive
capek update terus ahh,4,Positive
menarik,5,Positive
good,5,Positive
"woi, balikin saldo dana gw 26k",1,Negative
good,5,Positive
Joss pkokx,5,Positive
luar biasa semuanya!!!,5,Positive
#saya sangat menyukai instagram#,5,Positive
aplikasi ini bagus banget bisa foto bisa lihat video yang kita sukai tadi pokok nya bagussssss,1,Negative
SANGAT MEMUASKAN,5,Positive
saya sangat senang,5,Positive
"kreennn,tpi gk bisa nambah folowers saya😁",5,Positive
SUMPA JANGANN LA UPDATE' MULU😭😭😭😭,3,Neutral
bgus bgt,5,Positive
Oke,5,Positive
aplikasi paling favorit dalam hidup saya,5,Positive
keren,5,Positive
ok,5,Positive
sangat bagus,5,Positive
saya sangat suka dan bahagia,5,Positive
mudah kan lagi untuk mencari fitur di story,5,Positive
ok,3,Neutral
sangat mudah untuk digunakan,5,Positive
bagus,5,Positive
bagus,5,Positive
"bagus tapi kurang"" in deh postingan "" yang barbau judi online itu",5,Positive
membantu banget,5,Positive
