Text,Rating,Sentiment
"Mudah refresh terus, foto yg dilihat langsung hilang kebawah.. . Nyari jadi susah.. upload video juga susah. Padahal koneksi internet cepat dan stabil. 😕 - sering buffering dan bahkan saat nulis panjang"" instagram not response. Closed. then hilang semua updaye pembaruan : ""tidak dapat memuat ulang kabar beranda""",1,Negative
"Setelah update malah banyak bug. Di story tulisan nya ""musik tidak di temukan"" Semua story orang yang pakai musik, di saya itu tulisan nya "" musik tidak tersedia"" udah segala cara di coba.ga ada yang bisaa.. semua alasan sama, katanya wilayah wilayah. Serumah aja dia aman ig nya, kenapa saya bermasalah? Uninstall berkali kali, logout login, update. Semuanya udah. Makin kesini kenapa sih.. respon dong tolong!",1,Negative
"Banyak bug nya dan sampe sekarang belum diperbaiki, padahal udh report ke bagian CS nya, dan masi belum ada perubahan, bug yang aku temui berupa - beberapa fitur update terbaru tidak ada tombolnya (gaada tombol reply di dm dll) - terkadang instagram saya putih dan tidak keliatan tulisan apapun (kecuali gambar postingannya sendiri) - dll masi banyak banget, yg diatas itu yg paling ngeselin si. P.s system algorithm nya kaya kontool, akun / bisnis kecil susah berkembang. Sekian sahabat",1,Negative
"Minta upgrade berkali-kali itu sangat menyebalkan, ada saja yang tidak bisa digunakan setelah di upgrade dari menambahkan tulisan pada story mau diposting terjadi kesalahan sistem, lalu klik selengkapnya tidak bisa, klik terjemahan pada caption dan DM terjemahan juga tidak bisa muncul terjemahannya dan ketika sudah bisa semuanya sekarang minta upgrade lagi kemudian tidak ada tampilan halaman yang ditandai teman... Kenapa sekarang jadi seperti ini banyak bug... 🤦🏻‍♀️",1,Negative
"1. Banyak bug (komen ilang, gabisa ngelike) 2. Pake kuota lancar, giliran pake wifi yang jaringannya lebih kuat malah ngelag 3. Pencarian agak terbatas, kadang akun yang dicari ada, kadang tidak ada, padahal akun yang sama 4. Kasih history tontonan dong, kadang reels yg bagus gabisa di like, trus ilang, cuma ada history reels yg udah di like",2,Negative
"please jangan kasih update random kayak gitu lah, masak ya update pertama dapat yang reels nya bisa di puase dan update kedua malah gak ada, dan update ketiga balik lagi bisa di puase, terus sekarang malah reels bermasalah kayak keluar sendiri dari video reels dan kembali ke beranda, dan itu selalu terjadi, saat membuka reels dan ingin scroll ke bawah malah kembali ke beranda dan di buka lagi setelah beberapa saat malah kembali lagi ke beranda. tolong di perbaiki",2,Negative
"sebelumnya, ketika video sudah berakhir, tinggal di goyang saja atau di scrol sedikit videonya jalan kembali. Sekarang, harus di klik dulu. Kemudian, yang sebelumnya kolom komentar bisa dibuka hanya dengan mengetuk caption, sekarang sudah tidak bisa lagi dan harus mengetuk icon komentar, ini sangat menggangu, karena pengalaman menonton video dan melihat kolom komentar secara bersamaan jadi hilang dan tidak menyenangkan lagi. Aku tidak tau apakah ini pembaharuan untuk peningkatan atau penurunan.",2,Negative
"Setelah update malah makin kurang menurutku, kadang suka keluar sendiri dari Instagram, terus foto di sg gabisa di save dan kalau pake filter itu jadinya malah video bukan foto. Hey kenapa abis update malah jelek tampilan nya, kok malah lonjong foto nya.. plis lah bagusan instagram yang dulu :) update mulu update mulu, maaf ya menurut aku jadi makin downgrade.. kenapa sih feeds nya skrg jadi lonjong? padahal yg kotak bagus.. pas mau kasih lagu juga kadang suka error.. :(( mohon diperbaiki lagi",2,Negative
"mending durasi musik di story panjangin jadi 30 detik deh, 15 detik bentar banget, dan mode gelap kembaliin dong masa semenjak update jadi gak ada mode gelap. Diupdate ko malah banyak bugnya, sekarang scroll reels sering nyendat atau gak bisa scroll ke bawah lagi hadeh",2,Negative
"Instagram tetap menjadi salah satu platform media sosial terbaik untuk berbagi foto, video, dan momen sehari-hari. Aplikasinya mudah digunakan, tampilannya simpel, dan fiturnya terus berkembang — mulai dari Story, Reels, sampai DM yang makin praktis. Selain untuk hiburan, IG juga efektif banget buat membangun personal branding atau bisnis. Kekurangannya, kadang algoritma berubah-ubah, dan aplikasi bisa terasa berat di HP tertentu. Tapi secara keseluruhan, Instagram masih sangat worth it untuk di",5,Positive
